season,episode,title,airdate
1,1,Pilot,2005-03-24
1,2,Diversity Day,2005-03-29
1,3,Health Care,2005-04-05
1,4,The Alliance,2005-04-12
1,5,Basketball,2005-04-19
1,6,Hot Girl,2005-04-26
2,1,The Dundies,2005-09-20
2,2,Sexual Harassment,2005-09-27
2,3,Office Olympics,2005-10-04
2,4,The Fire,2005-10-11
2,5,Halloween,2005-10-18
2,6,The Fight,2005-11-01
2,7,The Client,2005-11-08
2,8,Performance Review,2005-11-15
2,9,Email Surveillance,2005-11-22
2,10,Christmas Party,2005-12-06
2,11,Booze Cruise,2006-01-05
2,12,The Injury,2006-01-12
2,13,The Secret,2006-01-19
2,14,The Carpet,2006-01-26
2,15,Boys and Girls,2006-02-02
2,16,Valentine's Day,2006-02-09
2,17,Dwight's Speech,2006-03-02
2,18,Take Your Daughter to Work Day,2006-03-16
2,19,Michael's Birthday,2006-03-30
2,20,Drug Testing,2006-04-27
2,21,Conflict Resolution,2006-05-04
2,22,Casino Night,2006-05-11
3,1,Gay Witch Hunt,2006-09-21
3,2,The Convention,2006-09-28
3,3,The Coup,2006-10-05
3,4,Grief Counseling,2006-10-12
3,5,Initiation,2006-10-19
3,6,Diwali,2006-11-02
3,7,Branch Closing,2006-11-09
3,8,The Merger,2006-11-16
3,9,The Convict,2006-11-30
3,10,A Benihana Christmas,2006-12-14
3,12,Back from Vacation,2007-01-04
3,13,Traveling Salesmen,2007-01-11
3,14,The Return,2007-01-18
3,15,Ben Franklin,2007-02-01
3,16,Phyllis' Wedding,2007-02-08
3,17,Business School,2007-02-15
3,18,Cocktails,2007-02-22
3,19,The Negotiation,2007-04-05
3,20,Safety Training,2007-04-12
3,21,Product Recall,2007-04-26
3,22,Women's Appreciation,2007-05-03
3,23,Beach Games,2007-05-10
3,24,The Job,2007-05-17
4,1,Fun Run,2007-09-27
4,3,Dunder Mifflin Infinity,2007-10-04
4,5,Launch Party,2007-10-11
4,7,Money,2007-10-18
4,9,Local Ad,2007-10-25
4,10,Branch Wars,2007-11-01
4,11,Survivor Man,2007-11-08
4,12,The Deposition,2007-11-15
4,13,Dinner Party,2008-04-10
4,14,Chair Model,2008-04-17
4,15,Night Out,2008-04-24
4,16,Did I Stutter?,2008-05-01
4,17,Job Fair,2008-05-08
4,18,"Goodbye, Toby",2008-05-15
5,1,Weight Loss,2008-09-25
5,3,Business Ethics,2008-10-09
5,4,Baby Shower,2008-10-16
5,5,Crime Aid,2008-10-23
5,6,Employee Transfer,2008-10-30
5,7,Customer Survey,2008-11-06
5,8,Business Trip,2008-11-13
5,9,Frame Toby,2008-11-20
5,10,The Surplus,2008-12-04
5,11,Moroccan Christmas,2008-12-11
5,12,The Duel,2009-01-15
5,13,Prince Family Paper,2009-01-22
5,14,Stress Relief,2009-02-01
5,16,Lecture Circuit: Part 1,2009-02-05
5,17,Lecture Circuit: Part 2,2009-02-12
5,18,Blood Drive,2009-03-05
5,19,Golden Ticket,2009-03-12
5,20,New Boss,2009-03-19
5,21,Two Weeks,2009-03-26
5,22,Dream Team,2009-04-09
5,23,Michael Scott Paper Company,2009-04-09
5,24,Heavy Competition,2009-04-16
5,25,Broke,2009-04-23
5,26,Casual Friday,2009-04-30
5,27,Cafe Disco,2009-05-07
5,28,Company Picnic,2009-05-14
6,1,Gossip,2009-09-17
6,2,The Meeting,2009-09-24
6,3,The Promotion,2009-10-01
6,4,Niagara,2009-10-08
6,6,Mafia,2009-10-15
6,7,The Lover,2009-10-22
6,8,Koi Pond,2009-10-29
6,9,Double Date,2009-11-05
6,10,Murder,2009-11-12
6,11,Shareholder Meeting,2009-11-19
6,12,Scott's Tots,2009-12-03
6,13,Secret Santa,2009-12-10
6,14,The Banker,2010-01-21
6,15,Sabre,2010-02-04
6,16,The Manager and the Salesman,2010-02-11
6,17,The Delivery,2010-03-04
6,19,St. Patrick's Day,2010-03-11
6,20,New Leads,2010-03-18
6,21,Happy Hour,2010-03-25
6,22,Secretary's Day,2010-04-22
6,23,Body Language,2010-04-29
6,24,The Cover-Up,2010-05-06
6,25,The Chump,2010-05-13
6,26,Whistleblower,2010-05-20
7,1,Nepotism,2010-09-23
7,2,Counseling,2010-09-30
7,3,Andy's Play,2010-10-07
7,4,Sex Ed,2010-10-14
7,5,The Sting,2010-10-21
7,6,Costume Contest,2010-10-28
7,7,Christening,2010-11-04
7,8,Viewing Party,2010-11-11
7,9,WUPHF.com,2010-11-18
7,10,China,2010-12-02
7,11,Classy Christmas,2010-12-09
7,13,Ultimatum,2011-01-20
7,14,The Seminar,2011-01-27
7,15,The Search,2011-02-03
7,16,PDA,2011-02-10
7,17,Threat Level Midnight,2011-02-17
7,18,Todd Packer,2011-02-24
7,19,Garage Sale,2011-03-24
7,20,Training Day,2011-04-14
7,21,Michael's Last Dundies,2011-04-21
7,22,"Goodbye, Michael",2011-04-28
7,23,The Inner Circle,2011-05-05
7,24,"Dwight K. Schrute, (Acting) Manager",2011-05-12
7,25,Search Committee,2011-05-19
8,1,The List,2011-09-22
8,2,The Incentive,2011-09-29
8,3,Lotto,2011-10-06
8,4,Garden Party,2011-10-13
8,5,Spooked,2011-10-27
8,6,Doomsday,2011-11-03
8,7,Pam's Replacement,2011-11-10
8,8,Gettysburg,2011-11-17
8,9,Mrs. California,2011-12-01
8,10,Christmas Wishes,2011-12-08
8,11,Trivia,2012-01-12
8,12,Pool Party,2012-01-19
8,13,Jury Duty,2012-02-02
8,14,Special Project,2012-02-09
8,15,Tallahassee,2012-02-16
8,16,After Hours,2012-02-23
8,17,Test the Store,2012-03-01
8,18,Last Day in Florida,2012-03-08
8,19,Get the Girl,2012-03-15
8,20,Welcome Party,2012-04-12
8,21,Angry Andy,2012-04-19
8,22,Fundraiser,2012-04-26
8,23,Turf War,2012-05-03
8,24,Free Family Portrait Studio,2012-05-10
9,1,New Guys,2012-09-20
9,2,Roy's Wedding,2012-09-27
9,3,Andy's Ancestry,2012-10-04
9,4,Work Bus,2012-10-18
9,5,Here Comes Treble,2012-10-25
9,6,The Boat,2012-11-08
9,7,The Whale,2012-11-15
9,8,The Target,2012-11-29
9,9,Dwight Christmas,2012-12-06
9,10,Lice,2013-01-10
9,11,Suit Warehouse,2013-01-17
9,12,Customer Loyalty,2013-01-24
9,13,Junior Salesman,2013-01-31
